"sobrenome","altura","peso","novo_imc"
"Duron",190,76,""
"Durrett",170,70,""
"Durrington",185,70,""
"Durst",160,71,"Acima do peso"
"Duryea",175,70,""
"Dusak",185,74,""
"Duser",175,73,""
"Dustal",172,72,""
"Duvall",215,73,"Peso normal"
"Duvall",185,72,""
"Duzen",165,71,"Acima do peso"
"Dwight",NA,NA,NA
"Dwyer",210,75,"Peso normal"
"Dwyer",186,69,""
"Dwyer",145,68,"Acima do peso"
"Dwyer",165,70,"Acima do peso"
"Dwyer",NA,NA,NA
"Dybzinski",180,74,""
"Dyck",200,74,"Peso normal"
"Dye",210,76,"Peso normal"
"Dyer",170,70,""
"Dyer",187,72,""
"Dyer",168,71,"Acima do peso"
"Dyer",195,75,""
"Dygert",158,70,"Acima do peso"
"Dykes",185,69,""
"Dykhoff",205,72,"Peso normal"
"Dykstra",215,77,"Peso normal"
"Dykstra",160,70,"Acima do peso"
"Dyler",NA,NA,NA
"Dyson",165,69,"Acima do peso"
"Dyson",212,73,"Peso normal"
"Eaddy",165,71,"Acima do peso"
"Eades",210,74,"Peso normal"
"Eagan",148,67,"Acima do peso"
"Eagan",190,71,""
"Eagle",NA,NA,NA
"Eakle",146,69,"Acima do peso"
"Earley",195,73,""
"Earle",170,70,""
"Earley",200,76,""
"Earley",180,72,""
"Earl",180,74,""
"Earl",165,71,"Acima do peso"
"Early",168,71,"Acima do peso"
"Earnshaw",210,76,"Peso normal"
"Easley",155,71,"Acima do peso"
"Easley",215,72,"Peso normal"
"Easley",185,73,""
"Easler",190,72,""
"Eason",175,72,""
"East",178,74,""
"Easterday",145,66,"Acima do peso"
"Easterly",180,69,""
"Easter",240,76,"Peso normal"
"Easterling",180,71,""
"Easterwood",196,72,""
"Easterly",165,68,""
"East",NA,NA,NA
"East",185,74,""
"Easton",NA,NA,NA
"Easton",185,74,""
"Eastwick",180,75,""
"Eaton",190,74,""
"Eaton",180,69,""
"Eaton",175,71,""
"Eaton",185,71,""
"Eaton",185,70,""
"Eave",200,76,""
"Eaves",180,74,""
"Eayrs",160,67,"Acima do peso"
"Ebbets",NA,NA,NA
"Ebel",175,70,""
"Ebert",200,75,""
"Ebright",180,69,""
"Eccles",170,74,"Acima do peso"
"Echevarria",215,76,"Peso normal"
"Echols",175,70,""
"Eckenstahler",210,79,"Peso normal"
"Eckert",174,70,""
"Eckert",165,70,"Acima do peso"
"Eckersley",190,74,""
"Eckhardt",185,73,""
"Eckstein",170,66,""
"Eddy",200,75,""
"Eddy",170,71,""
"Eddy",185,74,""
"Edelen",191,72,""
"Edelen",165,72,"Acima do peso"
"Edelman",185,75,""
"Eden",173,68,""
"Edenfield",165,73,"Acima do peso"
"Eden",170,70,""
"Edens",185,75,""
"Edge",203,75,"Peso normal"
"Edgerton",185,74,""
"Edgin",245,73,"Peso normal"
"Edington",180,67,""
"Edlefsen",195,74,""
"Edler",185,72,""
"Edman",180,70,""
"Edmondson",185,71,""
"Edmondson",165,74,"Acima do peso"
"Edmonson",175,72,""
"Edmondson",179,73,""
"Edmonds",190,73,""
"Edmondson",195,77,""
"Edmonston",185,71,""
"Edwards",NA,NA,NA
"Edwards",180,68,""
"Edwards",170,75,"Acima do peso"
"Edwards",170,72,""
"Edwards",215,74,"Peso normal"
"Edwards",175,75,""
"Edwards",190,72,""
"Edwards",185,74,""
"Edwards",220,76,"Peso normal"
"Edwards",240,77,"Peso normal"
"Edwards",157,69,"Acima do peso"
"Edwards",154,70,"Acima do peso"
"Edwards",180,73,""
"Edwards",165,69,"Acima do peso"
"Edwards",165,72,"Acima do peso"
"Edwards",185,77,""
"Eells",195,73,""
"Eenhoorn",170,75,"Acima do peso"
"Effross",202,74,"Peso normal"
"Eflin",220,78,"Peso normal"
"Egan",195,72,""
"Egan",162,71,"Acima do peso"
"Egan",193,76,""
"Egan",NA,NA,NA
"Egan",176,72,""
"Egan",218,76,"Peso normal"
"Egan",185,75,""
"Egbert",220,75,"Peso normal"
"Ege",190,73,""
"Eggert",160,69,"Acima do peso"
"Eggler",165,69,"Acima do peso"
"Egloff",215,74,"Peso normal"
"Ehmke",190,75,""
"Ehret",175,72,""
"Ehrhardt",190,74,""
"Eibel",220,71,"Peso normal"
"Eibner",215,76,"Peso normal"
"Eichelberger",195,74,""
"Eichhorn",200,76,""
"Eichrodt",167,71,"Acima do peso"
"Eickhoff",246,76,"Peso normal"
"Eiland",210,75,"Peso normal"
"Eilers",188,71,""
"Einertson",190,74,""
"Eischen",190,73,""
"Eisenstat",185,71,""
"Eisenhart",195,75,""
"Eisenreich",180,71,""
"Eiteljorge",190,74,""
"Ekstrom",190,72,""
"Ehlen",NA,NA,NA
"Elarton",240,79,"Peso normal"
"Elberfeld",158,67,"Acima do peso"
"Elbert",225,74,"Peso normal"
"Elder",220,74,"Peso normal"
"Elder",180,72,""
"Elder",180,71,""
"Elder",200,74,"Peso normal"
"Eldred",270,78,"Peso normal"
"Eldred",215,76,"Peso normal"
"Elia",175,71,""
"Elias",205,73,"Peso normal"
"Elko",185,71,""
"Ellam",203,70,"Peso normal"
"Elledge",240,75,"Peso normal"
"Ellerbe",165,70,"Acima do peso"
"Eller",185,71,""
"Ellick",162,70,"Acima do peso"
"Ellingsen",180,72,""
"Ellington",215,75,"Peso normal"
"Elliott",170,72,""
"Elliott",185,72,""
"Elliott",165,71,"Acima do peso"
"Elliott",190,72,""
"Elliott",190,76,""
"Elliott",150,67,"Acima do peso"
"Elliott",170,70,""
"Elliott",170,73,"Acima do peso"
"Elliott",175,69,""
"Elliott",235,75,"Peso normal"
"Elliot",200,74,"Peso normal"
"Elliott",190,74,""
"Elliott",160,69,"Acima do peso"
"Ellis",225,74,"Peso normal"
"Ellison",170,71,""
"Ellis",166,70,"Acima do peso"
"Ellis",205,77,"Peso normal"
"Ellis",205,75,"Peso normal"
"Ellis",205,75,"Peso normal"
"Ellison",185,75,""
"Ellison",180,70,""
"Ellis",185,74,""
"Ellis",225,74,"Peso normal"
"Ellis",190,70,""
"Ellis",180,71,""
"Ellis",220,77,"Peso normal"
"Ellis",170,72,""
"Ellis",175,73,""
"Ellsbury",195,73,""
"Ellsworth",180,75,""
"Ellsworth",220,80,"Peso normal"
"Elmore",180,70,""
"Elmore",185,71,""
"Elsh",165,69,"Acima do peso"
"Elster",180,74,""
"Elston",165,72,"Acima do peso"
"Elvira",160,70,"Acima do peso"
"Ely",155,73,"Acima do peso"
"Ely",NA,NA,NA
"Ely",210,74,"Peso normal"
"Emanuel",225,76,"Peso normal"
"Emaus",205,72,"Peso normal"
"Embree",185,74,""
"Embree",165,72,"Acima do peso"
"Embry",184,74,""
"Emerson",165,68,""
"Emery",205,74,"Peso normal"
"Emery",165,69,"Acima do peso"
"Emig",NA,74,NA
"Emmerich",155,63,"Acima do peso"
"Emmer",150,68,"Acima do peso"
"Emmerich",170,73,"Acima do peso"
"Emslie",180,71,""
"Encarnacion",180,68,""
"Encarnacion",230,73,"Peso normal"
"Encarnacion",250,76,"Peso normal"
"Encarnacion",160,74,"Acima do peso"
"Encarnacion",178,70,""
"Encarnacion",210,74,"Peso normal"
"Enders",205,73,"Peso normal"
"Endicott",175,71,""
"Engel",215,74,"Peso normal"
"Engel",183,73,""
"Engel",216,75,"Peso normal"
"Engle",145,68,"Acima do peso"
"Engle",190,70,""
"Engle",210,75,"Peso normal"
"Engle",181,71,""
"English",160,69,"Acima do peso"
"English",180,71,""
"English",220,75,"Peso normal"
"English",155,70,"Acima do peso"
"Ennis",195,72,""
"Ennis",220,77,"Peso normal"
"Ennis",160,71,"Acima do peso"
"Enns",210,73,"Peso normal"
"Enright",220,75,"Peso normal"
"Enright",175,71,""
"Enright",177,71,""
"Ensberg",210,74,"Peso normal"
"Ens",165,70,"Acima do peso"
"Ens",180,73,""
"Enwright",NA,70,NA
"Enyart",190,74,""
"Enzenroth",164,70,"Acima do peso"
"Enzmann",165,70,"Acima do peso"
"Eovaldi",217,74,"Peso normal"
"Eppard",180,74,""
"Epperly",194,74,""
"Eppley",205,77,"Peso normal"
"Epps",170,70,""
"Epps",175,72,""
"Epstein",230,75,"Peso normal"
"Erardi",190,73,""
"Erautt",185,71,""
"Erautt",175,69,""
"Erdos",205,73,"Peso normal"
"Erickson",175,72,""
"Erickson",190,74,""
"Erickson",185,73,""
"Erickson",230,77,"Peso normal"
"Ericks",220,79,"Peso normal"
"Erickson",190,71,""
"Erickson",200,74,"Peso normal"
"Erickson",175,73,""
"Erickson",180,75,""
"Erickson",220,76,"Peso normal"
"Erlin",200,71,"Peso normal"
"Ermer",175,72,""
"Ernaga",195,73,""
"Errickson",175,73,""
"Erskine",165,70,"Acima do peso"
"Erstad",195,74,""
"Ervin",207,70,"Peso normal"
"Erwin",185,72,""
"Esasky",200,75,""
"Escalona",235,76,"Peso normal"
"Escalona",185,72,""
"Escalera",165,70,"Acima do peso"
"Escalona",215,72,"Peso normal"
"Escarrega",185,71,""
"Eschen",160,70,"Acima do peso"
"Eschen",180,72,""
"Esch",205,75,"Peso normal"
"Escobar",185,73,""
"Escobar",205,73,"Peso normal"
"Escobar",160,72,"Acima do peso"
"Escobar",199,70,"Peso normal"
"Escobar",225,74,"Peso normal"
"Escobar",140,70,"Acima do peso"
"Escobar",205,73,"Peso normal"
"Escobar",205,73,"Peso normal"
"Escobar",215,74,"Peso normal"
"Eshelman",225,74,"Peso normal"
"Eshelman",205,75,"Peso normal"
"Esmond",167,71,"Acima do peso"
"Esper",185,71,""
"Espinoza",170,72,""
"Espinoza",208,72,"Peso normal"
"Espinosa",205,72,"Peso normal"
"Espineli",195,76,""
"Espino",190,73,""
"Espinosa",192,73,""
"Espino",211,70,"Peso normal"
"Espinal",215,75,"Peso normal"
"Espinal",187,70,""
"Esposito",210,73,"Peso normal"
"Esposito",190,72,""
"Esposito",165,69,"Acima do peso"
"Espy",195,75,""
"Essegian",200,71,"Peso normal"
"Esser",190,73,""
"Essian",195,74,""
"Essick",175,70,""
"Estalella",180,68,""
"Estalella",200,73,"Peso normal"
"Estelle",170,74,"Acima do peso"
"Esterbrook",167,71,"Acima do peso"
"Estes",185,74,""
"Estevez",277,78,"Peso normal"
"Estock",185,72,""
"Estrada",185,73,""
"Estrada",182,68,""
"Estrada",185,73,""
"Estrada",180,73,""
"Estrada",209,71,"Peso normal"
"Estrada",180,72,""
"Estrada",160,68,"Acima do peso"
"Estrada",185,70,""
"Estrella",185,73,""
"Etchebarren",190,73,""
"Etchison",190,73,""
"Etheridge",170,69,""
"Etherton",195,73,""
"Ethier",210,74,"Peso normal"
"Etten",198,74,""
"Ettles",178,72,""
"Eubank",215,74,"Peso normal"
"Eubanks",175,75,""
"Eufemia",185,71,""
"Eunick",148,66,"Acima do peso"
"Eusebio",180,74,""
"Eustace",160,69,"Acima do peso"
"Evans",NA,NA,NA
"Evans",190,71,""
"Evans",181,73,""
"Evans",180,73,""
"Evans",210,74,"Peso normal"
"Evans",175,72,""
"Evans",180,74,""
"Evans",205,71,"Peso normal"
"Evans",NA,NA,NA
"Evans",200,74,"Peso normal"
"Evans",265,77,"Peso normal"
"Evans",180,74,""
"Evans",154,68,"Acima do peso"
"Evans",160,69,"Acima do peso"
"Evans",220,74,"Peso normal"
"Evans",210,70,"Peso normal"
"Evans",168,71,"Acima do peso"
"Evans",180,72,""
"Evans",175,70,""
"Evans",210,76,"Peso normal"
"Evans",200,73,"Peso normal"
"Eveland",235,73,"Peso normal"
"Everett",180,72,""
"Everett",181,72,""
"Everitt",185,72,""
"Everitt",195,73,""
"Everidge",275,72,"Peso normal"
"Evers",190,70,""
"Eversgerd",190,73,""
"Evers",180,74,""
"Evers",125,69,"Acima do peso"
"Evers",135,69,"Acima do peso"
"Evers",135,69,"Acima do peso"
"Ewell",160,72,"Acima do peso"
"Ewing",170,73,"Acima do peso"
"Ewing",188,70,""
"Ewing",168,73,"Acima do peso"
"Ewing",150,64,"Acima do peso"
"Ewing",200,75,""
"Ewoldt",165,70,"Acima do peso"
"Exposito",210,75,"Peso normal"
"Eyre",160,73,"Acima do peso"
"Eyre",235,72,"Peso normal"
"Eyrich",175,71,""
"Ezzell",158,70,"Acima do peso"
"Faatz",196,76,""
"Faber",180,74,""
"Fabregas",205,75,"Peso normal"
"Fabrique",150,68,"Acima do peso"
"Face",155,68,"Acima do peso"
"Faedo",225,77,"Peso normal"
"Faedo",170,72,""
"Faeth",180,72,""
"Fagan",165,71,"Acima do peso"
"Fagan",195,72,""
"Fagin",NA,NA,NA
"Fahey",200,72,"Peso normal"
"Fahey",160,74,"Acima do peso"
"Fahey",190,73,""
"Fahey",145,67,"Acima do peso"
"Fahrer",190,72,""
"Fahr",185,77,""
"Fain",180,71,""
"Fairbank",185,70,""
"Fairbanks",225,78,"Peso normal"
"Faircloth",160,71,"Acima do peso"
"Fairchild",205,72,"Peso normal"
"Fairey",190,70,""
"Fair",140,67,"Acima do peso"
"Fairly",175,70,""
"Fajardo",185,76,""
"Falch",220,78,"Peso normal"
"Falcone",185,74,""
"Falk",175,72,""
"Falk",170,74,"Acima do peso"
"Falkenborg",235,79,"Peso normal"
"Falkenberg",180,77,""
"Fallenstein",180,75,""
"Fallon",200,75,""
"Fallon",NA,66,NA
"Fallon",155,69,"Acima do peso"
"Falsey",132,66,"Acima do peso"
"Falter",175,76,""
"Falteisek",200,74,"Peso normal"
"Falu",185,69,""
"Familia",240,75,"Peso normal"
"Faneyte",170,72,""
"Fannin",170,72,""
"Fanning",163,69,"Acima do peso"
"Fanning",180,71,""
"Fanok",180,72,""
"Fanovich",180,71,""
"Fansler",180,71,""
"Fanwell",175,72,""
"Fanzone",200,72,"Peso normal"
"Fargas",180,73,""
"Faria",230,76,"Peso normal"
"Faries",165,70,"Acima do peso"
"Fariss",180,76,""
"Farley",200,74,"Peso normal"
"Farley",NA,NA,NA
"Farmer",175,72,""
"Farmer",187,71,""
"Farmer",232,76,"Peso normal"
"Farmer",200,77,""
"Farmer",185,75,""
"Farmer",180,72,""
"Farmer",205,72,"Peso normal"
"Farmer",193,73,""
"Farnsworth",190,74,""
"Farnsworth",230,76,"Peso normal"
"Farquhar",185,69,""
"Farrar",185,70,""
"Farrell",NA,NA,NA
"Farrell",160,68,"Acima do peso"
"Farrell",208,73,"Peso normal"
"Farrell",180,NA,NA
"Farrell",165,69,"Acima do peso"
"Farrell",145,68,"Acima do peso"
"Farrell",160,66,"Acima do peso"
"Farrell",160,70,"Acima do peso"
"Farrell",210,76,"Peso normal"
"Farrell",172,71,""
"Farrell",200,78,""
"Farrell",215,76,"Peso normal"
"Farris",180,69,""
"Farr",195,73,""
"Farrow",NA,NA,NA
"Farr",198,70,"Peso normal"
"Fasano",220,74,"Peso normal"
"Fassero",180,73,""
"Fass",NA,NA,NA
"Fast",195,75,""
"Faszholz",205,75,"Peso normal"
"Faucher",190,73,""
"Faul",184,70,""
"Faulkner",205,75,"Peso normal"
"Faulkner",190,75,""
"Fausett",170,70,""
"Faust",NA,74,NA
"Fautsch",162,70,"Acima do peso"
"Fauver",NA,70,NA
"Fazio",165,67,""
"Fear",170,72,""
"Featherston",185,73,""
"Febles",170,71,""
"Fedde",203,76,"Peso normal"
"Federoff",165,70,"Acima do peso"
"Federowicz",215,70,"Peso normal"
"Fee",NA,NA,NA
"Fehring",195,72,""
"Feierabend",225,75,"Peso normal"
"Feinberg",165,69,"Acima do peso"
"Felderman",187,73,""
"Felder",160,68,"Acima do peso"
"Feldman",175,72,""
"Feldman",225,78,"Peso normal"
"Feliciano",190,70,""
"Feliciano",200,73,"Peso normal"
"Feliciano",195,70,"Peso normal"
"Felix",180,72,""
"Felix",160,67,"Acima do peso"
"Felix",170,72,""
"Feliz",250,76,"Peso normal"
"Feliz",235,75,"Peso normal"
"Feliz",210,73,"Peso normal"
"Feller",185,72,""
"Feller",185,70,""
"Felsch",175,71,""
"Felske",195,75,""
"Feltner",190,76,""
"Felton",180,73,""
"Fennelly",168,68,""
"Fenner",165,70,"Acima do peso"
"Fenwick",165,69,"Acima do peso"
"Ferens",170,71,""
"Ferguson",180,72,""
"Ferguson",149,69,"Acima do peso"
"Ferguson",180,73,""
"Ferguson",226,75,"Peso normal"
"Ferguson",165,72,"Acima do peso"
"Ferguson",NA,71,NA
"Ferguson",165,70,"Acima do peso"
"Ferguson",200,74,"Peso normal"
"Fermin",160,71,"Acima do peso"
"Fermin",200,70,"Peso normal"
"Fermin",180,75,""
"Fernandez",200,74,"Peso normal"
"Fernandez",165,72,"Acima do peso"
"Fernandez",160,70,"Acima do peso"
"Fernandes",185,69,""
"Fernandez",185,72,""
"Fernandez",223,74,"Peso normal"
"Fernandez",220,75,"Peso normal"
"Fernandez",240,75,"Peso normal"
"Fernandez",185,70,""
"Fernandez",170,75,"Acima do peso"
"Fernandez",215,75,"Peso normal"
"Fernandez",233,78,"Peso normal"
"Fernandez",170,69,""
"Fernandez",190,74,""
"Fernandez",220,73,"Peso normal"
"Fernandez",165,74,"Acima do peso"
"Ferrara",200,73,"Peso normal"
"Ferrari",160,69,"Acima do peso"
"Ferrazzi",200,74,"Peso normal"
"Ferrarese",170,69,""
"Ferraro",175,71,""
"Ferrell",205,76,"Peso normal"
"Ferrell",160,70,"Acima do peso"
"Ferrer",145,67,"Acima do peso"
"Ferreira",160,73,"Acima do peso"
"Ferrell",195,74,""
"Ferris",225,78,"Peso normal"
"Ferriss",208,74,"Peso normal"
"Ferris",162,68,"Acima do peso"
"Ferrick",220,74,"Peso normal"
"Ferry",170,73,"Acima do peso"
"Ferry",175,71,""
"Ferson",165,69,"Acima do peso"
"Fessenden",NA,NA,NA
"Festa",195,73,""
"Fette",200,73,"Peso normal"
"Fetters",200,76,""
"Fetzer",180,70,""
"Fewster",160,71,"Acima do peso"
"Feyereisen",215,74,"Peso normal"
"Fiala",185,73,""
"Fick",200,77,""
"Fick",150,70,"Acima do peso"
"Fick",189,73,""
"Fidrych",175,75,""
"Fieber",187,76,""
"Fields",185,72,""
"Fielder",230,75,"Peso normal"
"Fields",225,74,"Peso normal"
"Fields",179,65,""
"Field",170,73,"Acima do peso"
"Fields",160,70,"Acima do peso"
"Fields",225,74,"Peso normal"
"Fields",191,72,""
"Field",195,70,"Peso normal"
"Field",185,74,""
"Fielder",275,71,"Peso normal"
"Field",182,69,""
"Field",185,70,""
"Fien",210,74,"Peso normal"
"Fiene",175,72,""
"Fiers",211,74,"Peso normal"
"Fife",175,75,""
"Fife",225,75,"Peso normal"
"Fifield",160,71,"Acima do peso"
"Figaro",190,72,""
"Figga",200,72,"Peso normal"
"Figgemeier",170,71,""
"Figgins",180,68,""
"Figueroa",170,70,""
"Figueroa",185,70,""
"Figueroa",190,73,""
"Figueroa",160,70,"Acima do peso"
"Figueroa",165,69,"Acima do peso"
"Figueroa",185,73,""
"Figueroa",215,72,"Peso normal"
"Fikac",185,74,""
"File",215,76,"Peso normal"
"Filer",195,73,""
"File",160,71,"Acima do peso"
"Files",NA,NA,NA
"Filipowicz",195,68,"Peso normal"
"Filley",172,71,""
"Fillingim",175,70,""
"Fillmyer",195,73,""
"Filson",195,74,""
"Fimple",185,74,""
"Fincher",180,73,""
"Finch",175,74,""
"Fine",180,72,""
"Fingers",190,76,""
"Finigan",175,71,""
"Fink",198,74,""
"Finlayson",140,66,"Acima do peso"
"Finley",170,63,""
"Finley",200,73,"Peso normal"
"Finley",220,78,"Peso normal"
"Finley",175,74,""
"Finnegan",216,71,"Peso normal"
"Finneran",169,70,""
"Finney",170,71,""
"Finnegan",197,74,""
"Finney",180,72,""
"Finn",168,71,"Acima do peso"
"Finnvold",195,77,""
"Fiorentino",185,73,""
"Fiore",175,72,""
"Fiore",210,76,"Peso normal"
"Fireovid",195,74,""
"Firova",185,72,""
"Firth",168,73,"Acima do peso"
"Fischer",190,72,""
"Fischer",180,72,""
"Fischer",190,72,""
"Fischer",185,75,""
"Fischlin",165,73,"Acima do peso"
"Fischer",190,76,""
"Fischer",170,70,""
"Fischer",174,72,""
"Fishburn",157,69,"Acima do peso"
"Fischer",NA,NA,NA
"Fisher",170,69,""
"Fisher",210,76,"Peso normal"
"Fisher",220,76,"Peso normal"
"Fisher",164,69,"Acima do peso"
"Fisher",143,68,"Acima do peso"
"Fisher",NA,NA,NA
"Fisher",175,71,""
"Fisher",174,72,""
"Fisher",215,75,"Peso normal"
"Fisher",210,72,"Peso normal"
"Fisher",200,74,"Peso normal"
"Fisher",200,74,"Peso normal"
"Fisher",180,73,""
"Fisher",NA,69,NA
"Fisher",175,70,""
"Fisher",180,72,""
"Fisher",215,74,"Peso normal"
"Fishel",185,71,""
"Fishel",175,72,""
"Fisher",210,77,"Peso normal"
"Fisher",209,73,"Peso normal"
"Fisher",171,69,""
"Fisher",180,71,""
"Fisher",176,69,""
"Fisher",170,70,""
"Fisher",185,70,""
"Fisher",180,72,""
"Fisher",174,72,""
"Fishman",195,75,""
"Fisk",200,75,""
"Fiske",185,71,""
"Fisler",137,66,"Acima do peso"
"Fister",210,80,"Peso normal"
"Fittery",156,68,"Acima do peso"
"Fitzberger",170,73,"Acima do peso"
"Fitzgerald",175,71,""
"Fitzgerald",160,70,"Acima do peso"
"FitzGerald",170,72,""
"Fitzgerald",163,71,"Acima do peso"
"Fitzgerald",162,68,"Acima do peso"
"Fitzgerald",NA,NA,NA
"Fitzgerald",190,75,""
"Fitzgerald",185,72,""
"Fitzgerald",160,68,"Acima do peso"
"Fitzgerald",185,72,""
"Fitzgerald",196,73,""
"Fitzgerald",168,69,""
"Fitzgerald",162,69,"Acima do peso"
"Fitzke",185,71,""
"Fitzmorris",190,74,""
"Fitzmaurice",180,72,""
"Fitzpatrick",165,68,""
"Fitzsimmons",185,71,""
"Fitzsimmons",190,73,""
"Flaa",225,75,"Peso normal"
"Flack",148,67,"Acima do peso"
"Flager",160,71,"Acima do peso"
"Flagstead",165,69,"Acima do peso"
"Flaherty",225,76,"Peso normal"
"Flaherty",195,73,""
"Flaherty",NA,NA,NA
"Flaherty",166,69,"Acima do peso"
"Flaherty",165,68,""
"Flaherty",205,75,"Peso normal"
"Flair",195,76,""
"Flanagan",175,72,""
"Flanagan",190,73,""
"Flanagan",185,72,""
"Flanagan",185,73,""
"Flande",180,74,""
"Flanigan",190,72,""
"Flanigan",175,75,""
"Flannery",173,75,"Acima do peso"
"Flannery",175,71,""
"Flaskamper",140,67,"Acima do peso"
"Flater",175,70,""
"Flavin",208,74,"Peso normal"
"Fleet",NA,NA,NA
"Fleitas",160,69,"Acima do peso"
"Fleming",190,72,""
"Fleming",200,75,""
"Fleming",220,74,"Peso normal"
"Fleming",185,70,""
"Fleming",155,71,"Acima do peso"
"Flener",175,71,""
"Fletcher",220,72,"Peso normal"
"Fletcher",170,70,""
"Fletcher",195,74,""
"Fletcher",185,69,""
"Fletcher",180,72,""
"Fletcher",165,70,"Acima do peso"
"Fletcher",NA,NA,NA
"Fletcher",190,73,""
"Fletcher",210,74,"Peso normal"
"Fletcher",168,71,"Acima do peso"
"Fletcher",170,72,""
"Fletcher",185,74,""
"Flexen",219,75,"Peso normal"
"Flick",168,69,""
"Flick",155,69,"Acima do peso"
"Flinn",185,73,""
"Flinn",175,72,""
"Flint",180,72,""
"Flitcraft",180,74,""
"Flohr",173,72,""
"Flood",165,69,"Acima do peso"
"Flood",160,69,"Acima do peso"
"Flora",180,72,""
"Flores",190,76,""
"Florence",195,72,""
"Flores",185,72,""
"Flores",175,70,""
"Flores",210,73,"Peso normal"
"Flores",180,71,""
"Flores",195,74,""
"Florence",185,73,""
"Flores",190,72,""
"Flores",190,70,""
"Flores",190,71,""
"Flores",213,74,"Peso normal"
"Florie",185,72,""
"Florial",195,73,""
"Florimon",185,74,""
"Floro",203,74,"Peso normal"
"Flowers",195,76,""
"Flowers",NA,NA,NA
"Flowers",170,71,""
"Flowers",260,76,"Peso normal"
"Flowers",190,73,""
"Floyd",180,73,""
"Floyd",160,71,"Acima do peso"
"Floyd",220,77,"Peso normal"
"Floyd",245,76,"Peso normal"
"Fluhrer",165,69,"Acima do peso"
"Flynn",245,80,"Peso normal"
"Flynn",165,71,"Acima do peso"
"Flynn",140,67,"Acima do peso"
"Flynn",165,71,"Acima do peso"
"Flynn",165,69,"Acima do peso"
"Flynn",150,69,"Acima do peso"
"Flynn",NA,NA,NA
"Flynn",143,66,"Acima do peso"
"Flynn",175,72,""
"Flynn",NA,NA,NA
"Flythe",175,74,""
"Fodge",175,72,""
"Fogarty",180,70,""
"Fogarty",190,71,""
"Fogel",NA,NA,NA
"Fogg",205,74,"Peso normal"
"Fohl",175,70,""
"Foiles",195,72,""
"Foley",160,70,"Acima do peso"
"Foley",215,76,"Peso normal"
"Foley",NA,NA,NA
"Foley",195,72,""
"Foley",173,71,""
"Foley",157,69,"Acima do peso"
"Foley",175,73,""
"Foley",150,69,"Acima do peso"
"Foli",179,72,""
"Folkers",180,74,""
"Foltynewicz",195,76,""
"Fondy",195,75,""
"Fonseca",180,70,""
"Fontana",195,71,""
"Fontenot",185,74,""
"Fontenot",165,69,"Acima do peso"
"Fontenot",175,72,""
"Font",255,76,"Peso normal"
"Fonville",155,66,"Acima do peso"
"Foor",170,74,"Acima do peso"
"Foote",205,75,"Peso normal"
"Foppert",210,78,"Peso normal"
"Foran",159,66,"Acima do peso"
"Forbes",160,70,"Acima do peso"
"Force",130,64,"Acima do peso"
"Ford",200,79,""
"Ford",200,74,"Peso normal"
"Ford",150,70,"Acima do peso"
"Ford",185,73,""
"Ford",190,76,""
"Ford",190,69,""
"Ford",160,69,"Acima do peso"
"Ford",170,72,""
"Ford",195,74,""
"Ford",165,70,"Acima do peso"
"Fordham",210,74,"Peso normal"
"Ford",190,71,""
"Ford",170,73,"Acima do peso"
"Ford",225,72,"Peso normal"
"Ford",175,71,""
"Ford",180,70,""
"Ford",155,70,"Acima do peso"
"Ford",165,71,"Acima do peso"
"Ford",178,70,""
"Fordyce",185,73,""
"Foreman",150,68,"Acima do peso"
"Foreman",160,72,"Acima do peso"
"Foreman",160,67,"Acima do peso"
"Forman",180,71,""
"Fornataro",230,74,"Peso normal"
"Fornieles",155,71,"Acima do peso"
"Forsch",200,76,""
"Forsch",195,76,""
"Forster",194,73,""
"Forster",200,75,""
"Forster",153,69,"Acima do peso"
"Forsyth",155,70,"Acima do peso"
"Forsythe",195,73,""
"Fortes",198,71,"Peso normal"
"Fortunato",210,73,"Peso normal"
"Fortune",176,71,""
"Fortugno",195,73,""
"Fosnow",195,76,""
"Fossas",195,72,""
"Fosse",215,74,"Peso normal"
"Foss",170,70,""
"Foss",187,74,""
"Fossum",160,73,"Acima do peso"
"Foster",180,72,""
"Foster",190,72,""
"Foster",NA,73,NA
"Foster",145,66,"Acima do peso"
"Foster",178,70,""
"Foster",180,73,""
"Foster",200,72,"Peso normal"
"Foster",160,73,"Acima do peso"
"Foster",200,73,"Peso normal"
"Foster",185,72,""
"Foster",165,71,"Acima do peso"
"Foster",215,72,"Peso normal"
"Foster",NA,68,NA
"Foster",175,67,""
"Foster",185,72,""
"Foster",NA,NA,NA
"Foster",170,67,""
"Foster",230,69,"Peso normal"
"Foster",180,72,""
"Fothergill",230,70,"Peso normal"
"Foucault",205,72,"Peso normal"
"Foulke",195,72,""
"Fournier",160,69,"Acima do peso"
"Fournier",195,72,""
"Fouser",NA,NA,NA
"Foutz",161,74,"Acima do peso"
"Foutz",165,71,"Acima do peso"
"Fowler",180,71,""
"Fowler",180,71,""
"Fowler",205,77,"Peso normal"
"Fowler",215,76,"Peso normal"
"Fowler",195,72,""
"Fowler",158,70,"Acima do peso"
"Fowlkes",190,74,""
"Fox",205,76,"Peso normal"
"Fox",160,70,"Acima do peso"
"Fox",180,71,""
"Fox",180,74,""
"Foxen",165,71,"Acima do peso"
"Fox",180,70,""
"Fox",NA,NA,NA
